sweep,idx,os,tr,sl,tp,rb,es,mc,cd,mbt,trades,wr,pnl,dd,sharpe,pf
1,1,25,4,2.0,-,-,-,-,-,-,191,0.4136,107.56,25.36,2.22,1.67
1,2,25,4,2.5,-,-,-,-,-,-,173,0.4509,110.39,27.16,2.19,1.62
1,3,25,4,3.0,-,-,-,-,-,-,142,0.5211,191.97,14.38,2.96,1.91
1,4,25,5,2.0,-,-,-,-,-,-,177,0.3729,123.42,22.27,2.31,1.73
1,6,25,5,3.0,-,-,-,-,-,-,140,0.5143,172.76,18.7,2.74,1.89
1,7,25,6,2.0,-,-,-,-,-,-,170,0.3588,87.36,22.05,1.79,1.57
1,10,25,7,2.0,-,-,-,-,-,-,157,0.3248,64.25,26.5,1.47,1.46
1,12,25,7,3.0,-,-,-,-,-,-,114,0.4298,117.26,15.18,2.05,1.67
1,13,30,4,2.0,-,-,-,-,-,-,191,0.4136,136.57,29.66,2.22,1.68
1,14,30,4,2.5,-,-,-,-,-,-,173,0.4509,140.14,31.67,2.19,1.62
1,16,30,5,2.0,-,-,-,-,-,-,177,0.3729,158.03,26.1,2.31,1.74
1,17,30,5,2.5,-,-,-,-,-,-,155,0.4323,187.39,24.62,2.53,1.76
1,19,30,6,2.0,-,-,-,-,-,-,170,0.3588,108.71,25.84,1.79,1.57
1,20,30,6,2.5,-,-,-,-,-,-,140,0.4214,206.3,18.72,2.45,1.78
1,22,30,7,2.0,-,-,-,-,-,-,157,0.3248,78.3,30.93,1.47,1.45
1,23,30,7,2.5,-,-,-,-,-,-,128,0.3828,155.33,16.78,2.11,1.69
1,26,35,4,2.5,-,-,-,-,-,-,173,0.4509,172.68,35.92,2.19,1.62
1,27,35,4,3.0,-,-,-,-,-,-,142,0.5211,329.78,19.9,2.96,1.89
1,29,35,5,2.5,-,-,-,-,-,-,155,0.4323,236.01,28.11,2.53,1.75
1,32,35,6,2.5,-,-,-,-,-,-,140,0.4214,260.62,21.5,2.45,1.76
1,33,35,6,3.0,-,-,-,-,-,-,124,0.4839,301.1,16.85,2.58,1.82
1,35,35,7,2.5,-,-,-,-,-,-,128,0.3828,191.88,19.29,2.11,1.67
1,36,35,7,3.0,-,-,-,-,-,-,114,0.4298,182.97,20.6,2.05,1.62
1,37,40,4,2.0,-,-,-,-,-,-,191,0.4136,202.93,37.58,2.22,1.69
1,39,40,4,3.0,-,-,-,-,-,-,142,0.5211,417.0,22.6,2.96,1.88
1,40,40,5,2.0,-,-,-,-,-,-,177,0.3729,238.81,33.22,2.31,1.74
1,42,40,5,3.0,-,-,-,-,-,-,140,0.5143,363.26,28.3,2.74,1.85
1,43,40,6,2.0,-,-,-,-,-,-,170,0.3588,154.82,32.88,1.79,1.56
1,45,40,6,3.0,-,-,-,-,-,-,124,0.4839,375.75,19.04,2.58,1.8
1,46,40,7,2.0,-,-,-,-,-,-,157,0.3248,106.86,39.04,1.47,1.44
1,48,40,7,3.0,-,-,-,-,-,-,114,0.4298,220.0,23.19,2.05,1.6
2,1,40,4,3.0,8,4,50,-,-,-,169,0.5207,248.38,38.44,2.25,1.53
2,2,40,4,3.0,8,5,60,-,-,-,160,0.5125,396.48,29.61,2.77,1.58
2,3,40,4,3.0,8,6,40,-,-,-,162,0.4815,153.61,31.62,1.8,1.36
2,4,40,4,3.0,10,4,50,-,-,-,168,0.5119,190.75,37.38,1.94,1.4
2,5,40,4,3.0,10,5,60,-,-,-,154,0.5195,371.36,33.67,2.69,1.59
2,6,40,4,3.0,10,6,40,-,-,-,155,0.4839,174.12,35.57,1.9,1.39
2,7,40,4,3.0,15,4,50,-,-,-,155,0.5226,270.39,39.25,2.35,1.65
2,8,40,4,3.0,15,5,60,-,-,-,143,0.5245,428.2,22.6,2.86,1.87
2,9,40,4,3.0,15,6,40,-,-,-,147,0.4966,204.23,28.69,2.19,1.57
2,10,40,4,3.0,20,4,50,-,-,-,154,0.5195,217.23,39.25,2.15,1.59
2,11,40,4,3.0,20,5,60,-,-,-,142,0.5282,417.65,22.6,2.98,1.86
2,12,40,4,3.0,20,6,40,-,-,-,147,0.4966,183.43,28.69,2.11,1.53
2,13,25,4,3.0,8,4,50,-,-,-,169,0.5207,129.53,25.59,2.25,1.55
2,14,25,4,3.0,8,5,60,-,-,-,160,0.5125,186.66,19.3,2.77,1.64
2,15,25,4,3.0,8,6,40,-,-,-,162,0.4815,87.56,20.76,1.8,1.39
2,16,25,4,3.0,10,4,50,-,-,-,168,0.5119,105.31,24.81,1.94,1.44
2,17,25,4,3.0,10,5,60,-,-,-,154,0.5195,177.16,22.21,2.69,1.66
2,18,25,4,3.0,10,6,40,-,-,-,155,0.4839,97.06,23.62,1.9,1.43
2,19,25,4,3.0,15,4,50,-,-,-,155,0.5226,137.77,26.3,2.35,1.67
2,20,25,4,3.0,15,5,60,-,-,-,143,0.5245,197.15,14.38,2.86,1.9
2,21,25,4,3.0,15,6,40,-,-,-,147,0.4966,108.64,18.48,2.19,1.59
2,22,25,4,3.0,20,4,50,-,-,-,154,0.5195,115.28,26.3,2.15,1.6
2,23,25,4,3.0,20,5,60,-,-,-,142,0.5282,191.99,14.38,2.98,1.9
2,24,25,4,3.0,20,6,40,-,-,-,147,0.4966,99.25,18.48,2.11,1.55
2,25,40,6,3.0,8,4,50,-,-,-,166,0.4217,71.21,38.3,1.13,1.18
2,26,40,6,3.0,8,5,60,-,-,-,153,0.4379,238.43,32.69,2.07,1.4
2,27,40,6,3.0,8,6,40,-,-,-,154,0.3961,139.29,33.16,1.59,1.3
2,28,40,6,3.0,10,4,50,-,-,-,158,0.4241,127.78,38.68,1.48,1.28
2,29,40,6,3.0,10,5,60,-,-,-,141,0.4539,309.39,36.3,2.33,1.5
2,30,40,6,3.0,10,6,40,-,-,-,143,0.4056,175.09,36.79,1.77,1.34
2,31,40,6,3.0,15,4,50,-,-,-,146,0.4178,120.16,35.48,1.41,1.38
2,32,40,6,3.0,15,5,60,-,-,-,131,0.4427,271.81,18.09,2.09,1.64
2,33,40,6,3.0,15,6,40,-,-,-,134,0.3955,137.2,26.84,1.55,1.38
2,34,40,6,3.0,20,4,50,-,-,-,140,0.4357,152.28,35.21,1.61,1.45
2,35,40,6,3.0,20,5,60,-,-,-,124,0.4758,381.65,18.09,2.56,1.78
2,36,40,6,3.0,20,6,40,-,-,-,131,0.4122,160.77,26.84,1.7,1.42
3,1,40,6,3.0,20,5,60,2.5,5,5,124,0.4677,371.03,19.9,2.52,1.75
3,2,40,6,3.0,20,5,60,2.5,10,8,124,0.4597,352.69,19.9,2.46,1.73
3,3,40,6,3.0,20,5,60,2.5,15,3,124,0.4758,381.65,18.09,2.56,1.78
3,4,40,6,3.0,20,5,60,2.5,20,5,124,0.4677,371.03,19.9,2.52,1.75
3,5,40,6,3.0,20,5,60,3.0,5,8,124,0.4597,352.69,19.9,2.46,1.73
3,6,40,6,3.0,20,5,60,3.0,10,3,124,0.4758,381.65,18.09,2.56,1.78
3,7,40,6,3.0,20,5,60,3.0,15,5,124,0.4677,371.03,19.9,2.52,1.75
3,8,40,6,3.0,20,5,60,3.0,20,8,124,0.4597,352.69,19.9,2.46,1.73
3,9,40,6,3.0,20,5,60,3.5,5,3,124,0.4758,381.65,18.09,2.56,1.78
3,10,40,6,3.0,20,5,60,3.5,10,5,124,0.4677,371.03,19.9,2.52,1.75
3,11,40,6,3.0,20,5,60,3.5,15,8,124,0.4597,352.69,19.9,2.46,1.73
3,12,40,6,3.0,20,5,60,3.5,20,3,124,0.4758,381.65,18.09,2.56,1.78
3,13,40,6,3.0,20,5,60,4.0,5,5,124,0.4677,371.03,19.9,2.52,1.75
3,14,40,6,3.0,20,5,60,4.0,10,8,124,0.4597,352.69,19.9,2.46,1.73
3,15,40,6,3.0,20,5,60,4.0,15,3,124,0.4758,381.65,18.09,2.56,1.78
3,16,40,6,3.0,20,5,60,4.0,20,5,124,0.4677,371.03,19.9,2.52,1.75
3,17,40,4,3.0,20,5,60,2.5,5,8,151,0.5099,344.27,22.99,2.69,1.77
3,18,40,4,3.0,20,5,60,2.5,10,3,142,0.5282,418.88,22.6,2.98,1.86
3,19,40,4,3.0,20,5,60,2.5,15,5,142,0.5211,407.26,22.6,2.94,1.83
3,20,40,4,3.0,20,5,60,3.0,5,8,151,0.5099,344.27,22.99,2.69,1.77
3,21,40,4,3.0,20,5,60,3.0,10,3,142,0.5282,418.88,22.6,2.98,1.86
3,22,40,4,3.0,20,5,60,3.0,15,5,142,0.5211,407.26,22.6,2.94,1.83
3,23,40,4,3.0,20,5,60,3.5,5,8,151,0.5099,344.27,22.99,2.69,1.77
3,24,40,4,3.0,20,5,60,3.5,10,3,142,0.5282,418.88,22.6,2.98,1.86
3,25,40,4,3.0,20,5,60,3.5,15,5,142,0.5211,407.26,22.6,2.94,1.83
